tag_id,bnd1,bnd2
LAT85S,-90.0,-80.1047134399414
LAT75S,-80.1047134399414,-69.73822021484375
LAT65S,-69.73822021484375,-60.31413650512695
LAT55S,-60.31413650512695,-49.9476432800293
LAT45S,-49.9476432800293,-39.58115005493164
LAT35S,-39.58115005493164,-30.157068252563477
LAT25S,-30.157068252563477,-19.79057502746582
LAT15S,-19.79057502746582,-10.36649227142334
LAT05S,-10.36649227142334,0.0
LAT05N,0.0,10.36649227142334
LAT15N,10.36649227142334,19.79057502746582
LAT25N,19.79057502746582,30.157068252563477
LAT35N,30.157068252563477,39.58115005493164
LAT45N,39.58115005493164,49.9476432800293
LAT55N,49.9476432800293,60.31413650512695
LAT65N,60.31413650512695,69.73822021484375
LAT75N,69.73822021484375,80.1047134399414
LAT85N,80.1047134399414,90.0
